Color,Name,Kms_Driven,Owner,Fuel,RTO,Tranmission,Price,Body_type,Variant,Airbags,Alloy_wheels,Cruise_control,Infotainment_system,Parking_sensors,Push_button_start,Steering_mounted_controls,Sunroof_moonroof
white,2020 Mahindra XUV500,"48,273 KM",2ND,DIESEL,DL-12,Manual,"₹13,80,000",luxury%20suv,W11(O)Manual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
white,2017 Jeep Compass,"30,625 KM",2ND,PETROL,MH-02,Automatic,"₹10,95,000",luxury%20suv,LIMITED 1.4 PETROL ATAutomatic,1.0,1.0,,,1.0,1.0,1.0,
white,2013 Honda CRV,"91,614 KM",1ST,PETROL,DL-3C,Automatic,"₹7,34,000",luxury%20suv,2.4 AWD ATAutomatic,,,,,1.0,,,
white,2017 Jeep Compass,"95,641 KM",1ST,PETROL,MH-02,Automatic,"₹9,94,000",luxury%20suv,LIMITED 1.4 PETROL ATAutomatic,1.0,1.0,,,1.0,1.0,1.0,
white,2019 Mahindra XUV500,"46,118 KM",1ST,DIESEL,UP-14,Manual,"₹11,95,000",luxury%20suv,W9Manual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
white,2018 Mahindra XUV500,"67,379 KM",2ND,DIESEL,KA-22,Manual,"₹11,89,000",luxury%20suv,W7Manual,1.0,,1.0,1.0,1.0,1.0,1.0,
white,2019 Jeep Compass,"40,394 KM",1ST,DIESEL,MH-12,Manual,"₹16,46,000",luxury%20suv,LIMITED (O) 2.0 DIESELManual,1.0,1.0,,1.0,1.0,1.0,1.0,
white,2018 Jeep Compass,"83,083 KM",1ST,DIESEL,TS-08,Manual,"₹13,43,000",luxury%20suv,LIMITED 2.0 DIESELManual,1.0,1.0,,,1.0,1.0,1.0,
white,2018 Mahindra XUV500,"85,786 KM",1ST,DIESEL,KA-03,Manual,"₹12,26,000",luxury%20suv,W7Manual,1.0,,1.0,1.0,1.0,1.0,1.0,
white,2018 Mahindra XUV500,"1,05,759 KM",2ND,DIESEL,KA-09,Manual,"₹10,69,750",luxury%20suv,W7Manual,,,,,,,,
white,2020 Jeep Compass,"30,199 KM",1ST,PETROL,MH-01,Automatic,"₹15,88,000",luxury%20suv,LIMITED PLUS PETROL ATAutomatic,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
white,2018 Jeep Compass,"42,064 KM",1ST,PETROL,TS-07,Automatic,"₹14,77,000",luxury%20suv,LIMITED PLUS PETROL ATAutomatic,,,,,,,,
white,2021 Jeep Compass,"21,250 KM",2ND,PETROL,MH-47,Automatic,"₹18,33,000",luxury%20suv,SPORT 1.4 PETROL DCTAutomatic,1.0,1.0,1.0,1.0,1.0,,1.0,
white,2018 Mahindra XUV500,"74,191 KM",1ST,DIESEL,KA-04,Automatic,"₹16,04,000",luxury%20suv,W11 ATAutomatic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
white,2019 Mahindra XUV500,"1,23,925 KM",1ST,DIESEL,KA-05,Automatic,"₹15,94,000",luxury%20suv,W11 (O) ATAutomatic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
white,2018 Mahindra XUV500,"46,759 KM",1ST,DIESEL,KA-04,Automatic,"₹12,92,000",luxury%20suv,W7 ATAutomatic,1.0,,1.0,1.0,1.0,1.0,1.0,
white,2016 Mahindra XUV500,"73,110 KM",2ND,DIESEL,KA-04,Manual,"₹12,19,000",luxury%20suv,W10Manual,1.0,1.0,1.0,,1.0,,1.0,1.0
white,2018 Jeep Compass,"39,643 KM",1ST,DIESEL,MP-09,Manual,"₹11,39,000",luxury%20suv,LONGITUDE 2.0 DIESELManual,1.0,1.0,,1.0,1.0,1.0,1.0,
white,2019 Mahindra XUV500,"1,07,099 KM",1ST,DIESEL,TS-11,Manual,"₹10,91,000",luxury%20suv,W7Manual,1.0,,1.0,1.0,1.0,1.0,1.0,
white,2018 Hyundai Tucson New,"43,262 KM",1ST,PETROL,HR-26,Manual,"₹13,56,000",luxury%20suv,2WD MT PETROLManual,,,,,,,,
white,2016 Mahindra XUV500,"64,061 KM",2ND,DIESEL,KA-01,Manual,"₹11,46,000",luxury%20suv,W10Manual,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
white,2018 Mahindra XUV500,"75,908 KM",1ST,DIESEL,UP-14,Manual,"₹8,61,000",luxury%20suv,W5 FWDManual,,,,,,,,
white,2020 Jeep Compass,"28,946 KM",1ST,DIESEL,HR-26,Manual,"₹16,77,000",luxury%20suv,LIMITED PLUS DIESELManual,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
white,2021 Mahindra XUV500,"80,305 KM",1ST,DIESEL,HR-29,Automatic,"₹13,07,000",luxury%20suv,W7 ATAutomatic,1.0,,1.0,1.0,1.0,1.0,1.0,
white,2011 Toyota Fortuner,"88,737 KM",1ST,DIESEL,WB-06,Manual,"₹7,53,000",luxury%20suv,3.0 4X4 MTManual,,,,,,,,
white,2015 Toyota Fortuner,"36,467 KM",1ST,DIESEL,TS-09,Manual,"₹19,80,000",luxury%20suv,3.0 4X2 MTManual,,,,,,,,
white,2014 Mahindra XUV500,"72,145 KM",1ST,DIESEL,MH-46,Manual,"₹6,28,000",luxury%20suv,W8Manual,,,,,,,,
white,2017 Jeep Compass,"33,728 KM",1ST,DIESEL,DL-10,Manual,"₹10,05,000",luxury%20suv,2.0 LONGITUDE (O)Manual,,,,,,,,
white,2019 Ford Endeavour,"94,389 KM",1ST,DIESEL,GJ-02,Manual,"₹21,40,000",luxury%20suv,2.2l 4X2 MT TitaniumManual,,,,,,,,
white,2018 Jeep Compass,"58,859 KM",2ND,PETROL,TN-34,Automatic,"₹12,82,000",luxury%20suv,LIMITED 1.4 PETROL ATAutomatic,1.0,1.0,,,1.0,1.0,1.0,
white,2017 Mahindra XUV500,"79,656 KM",2ND,DIESEL,GJ-23,Automatic,"₹9,81,000",luxury%20suv,W10 ATAutomatic,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
white,2017 Mahindra XUV500,"87,979 KM",3RD,DIESEL,TN-06,Automatic,"₹11,07,600",luxury%20suv,W10 ATAutomatic,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
white,2015 Mahindra XUV500,"59,139 KM",2ND,DIESEL,KA-05,Manual,"₹9,52,000",luxury%20suv,W6Manual,,,1.0,,1.0,,1.0,
red,2013 Honda CRV,"1,01,404 KM",1ST,PETROL,MH-04,Manual,"₹5,56,000",luxury%20suv,2.0L 2WD MTManual,,,,,,,,
red,2014 Mahindra XUV500,"96,037 KM",3RD,DIESEL,KA-03,Manual,"₹7,30,000",luxury%20suv,W8Manual,,1.0,1.0,,1.0,,1.0,
red,2018 Jeep Compass,"53,139 KM",2ND,DIESEL,HR-81,Manual,"₹11,62,000",luxury%20suv,LIMITED (O) 2.0 DIESEL 4X4Manual,1.0,1.0,,,1.0,1.0,1.0,
red,2018 Jeep Compass,"56,627 KM",2ND,DIESEL,MH-02,Manual,"₹12,25,000",luxury%20suv,LIMITED (O) 2.0 DIESELManual,1.0,1.0,,,1.0,1.0,1.0,
red,2019 Jeep Compass,"51,411 KM",1ST,PETROL,DL-14,Manual,"₹11,71,000",luxury%20suv,SPORT 1.4 PETROLManual,1.0,,,1.0,,,1.0,
red,2017 Jeep Compass,"96,554 KM",1ST,DIESEL,GJ-01,Manual,"₹8,91,000",luxury%20suv,SPORT 2.0 DIESELManual,,,,,,,,
red,2020 Jeep Compass,"44,321 KM",1ST,DIESEL,TS-09,Manual,"₹17,70,000",luxury%20suv,LIMITED PLUS DIESELManual,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
red,2019 Jeep Compass,"35,191 KM",1ST,DIESEL,HR-51,Manual,"₹15,23,000",luxury%20suv,LIMITED PLUS DIESEL 4X4Manual,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
red,2016 Mahindra XUV500,"73,804 KM",2ND,DIESEL,MH-02,Automatic,"₹9,05,000",luxury%20suv,W10 ATAutomatic,1.0,1.0,1.0,,1.0,,1.0,1.0
red,2018 Jeep Compass,"88,923 KM",1ST,PETROL,TN-01,Automatic,"₹11,92,000",luxury%20suv,LIMITED 1.4 PETROL ATAutomatic,1.0,1.0,,,1.0,1.0,1.0,
